country_or_area,commodity_transaction,year,quantity_GWh
Germany,Electricity - Consumption by other,2018,266583.0
Germany,Electricity - Consumption by other,2017,274769.0
Germany,Electricity - Consumption by households,2020,127032.0
Germany,Electricity - Consumption by households,2019,126539.0
Germany,Electricity - Consumption by households,2018,127880.0
Germany,Electricity - Consumption by households,2017,128200.0
Germany,"Electricity - Consumption in agriculture, forestry and fishing",2020,5203.0
Germany,"Electricity - Consumption in agriculture, forestry and fishing",2019,5130.0
Germany,"Electricity - Consumption in agriculture, forestry and fishing",2018,5233.0
Germany,"Electricity - Consumption in agriculture, forestry and fishing",2017,5090.0
Germany,of which: fishing,2020,73.0
Germany,of which: fishing,2019,71.0
Germany,of which: fishing,2018,94.0
Germany,Electricity - Consumption by commercial and public services,2020,125353.0
Germany,Electricity - Consumption by commercial and public services,2019,129974.0
Germany,Electricity - Consumption by commercial and public services,2018,133470.0
Germany,Electricity - Consumption by commercial and public services,2017,141479.0
Germany,"Electricity - total production, main activity",2020,520906.0
Germany,"Electricity - total production, main activity",2019,553581.0
Germany,"Electricity - total production, main activity",2018,585511.0
Germany,"Electricity - total production, main activity",2017,596946.0
Germany,Electricity - Gross demand,2020,516993.0
Germany,Electricity - Gross demand,2019,535017.0
Germany,Electricity - Gross demand,2018,548470.0
Germany,Electricity - Gross demand,2017,558342.0
Germany,"Electricity - total production, autoproducer",2020,51760.0
Germany,"Electricity - total production, autoproducer",2019,53336.0
Germany,"Electricity - total production, autoproducer",2018,54957.0
Germany,"Electricity - total production, autoproducer",2017,56777.0
